25744_1_1_1	25744_1_1_1
25984_1_1_1	25984_1_1_1
25984_1_1_1	25983_1_1_1
26728_1_1_1	26728_1_1_1
26728_1_1_1	26830_1_1_1
26728_1_1_1	26831_1_1_1
26728_1_1_1	26826_1_1_1
26728_1_1_1	26827_1_1_1
26728_1_1_1	26823_2_1_1
26728_1_1_1	27789_1_1_1
26728_1_1_1	50090_1_1_1
26728_1_1_1	26823_1_1_1
26728_1_1_1	27790_1_1_1
26728_1_1_1	27750_1_1_1
26728_1_1_1	27751_1_1_1
26728_1_1_1	27788_1_1_1
26728_1_1_1	26828_1_1_1
26728_1_1_1	26829_1_1_1
26985_1_1_1	26985_1_1_1
27345_1_1_1	27345_1_1_1
27345_1_1_1	50106_1_1_1
27345_1_1_1	11299_1_1_1
27345_1_1_1	50104_1_1_1
27690_1_1_1	27690_1_1_1
30636_1_1_1	30636_1_1_1
30636_1_1_1	30629_1_1_1
30636_1_1_1	30634_1_1_1
30636_1_1_1	30635_1_1_1
30985_1_1_1	30985_1_1_1
34200_1_1_1	34200_1_1_1
34330_1_1_1	34330_1_1_1
34511_1_1_1	34511_1_1_1
34511_1_1_1	50772_1_1_1
34511_1_1_1	51620_1_1_1
36001_1_1_1	36001_1_1_1
36426_1_1_1	36426_1_1_1
36426_1_1_1	50443_1_1_1
50422_1_1_1	50422_1_1_1
50422_1_1_1	50993_1_1_1
50422_1_1_1	50388_1_1_1
50422_1_1_1	50387_1_1_1
50422_1_1_1	50969_1_1_1
50907_1_1_1	50907_1_1_1
50907_1_1_1	6945_1_1_1
51404_1_1_1	51404_1_1_1
51404_1_1_1	51403_1_1_1
51404_1_1_1	27541_1_1_1
51404_1_1_1	27539_1_1_1
51404_1_1_1	16376_1_1_1
51404_1_1_1	12032_1_1_1
11495_1_1_1	11495_1_1_1
11495_1_1_1	11490_1_1_1
15210_1_1_1	15210_1_1_1
15210_1_1_1	16121_1_1_1
15584_1_1_1	15584_1_1_1
15795_1_1_1	15795_1_1_1
16085_1_1_1	16085_1_1_1
16403_1_1_1	16403_1_1_1
16403_1_1_1	16264_1_1_1
16403_1_1_1	25483_1_1_1
16403_1_1_1	4225_1_1_1
16403_1_1_1	4850_1_1_1
16735_1_1_1	16735_1_1_1
17274_1_1_1	17274_1_1_1
17274_1_1_1	18379_1_1_1
18008_1_1_1	18008_1_1_1
18008_1_1_1	18006_1_1_1
18521_1_2_2	18521_1_2_2
18901_1_1_1	18901_1_1_1
18901_1_1_1	10008_1_1_1
19168_1_1_1	19168_1_1_1
19463_1_1_1	19463_1_1_1
19463_1_1_1	19461_1_1_1
19740_1_1_1	19740_1_1_1
25027_1_1_1	25027_1_1_1
25221_1_1_1	25221_1_1_1
25552_1_1_1	25552_1_1_1
25552_1_1_1	26547_1_1_1
25758_1_1_1	25758_1_1_1
25758_1_1_1	19990_2_1_1
25758_1_1_1	19990_1_1_1
25758_1_1_1	34619_1_1_1
26745_1_1_1	26745_1_1_1
27363_1_1_1	27363_1_1_1
27363_1_1_1	19985_1_1_1
27363_1_1_1	27987_1_1_1
27363_1_1_1	18787_1_1_1
27363_1_1_1	25477_1_1_1
27363_1_1_1	25874_1_1_1
27363_1_1_1	16842_1_1_1
27691_1_1_1	27691_1_1_1
30091_1_1_1	30091_1_1_1
30091_1_1_1	25620_1_1_1
30091_1_1_1	25626_1_1_1
30091_1_1_1	25623_1_1_1
30091_1_1_1	25622_1_1_1
30091_1_1_1	25616_1_1_1
30995_1_1_1	30995_1_1_1
34202_1_1_1	34202_1_1_1
34202_1_1_1	34216_1_1_1
34335_1_1_1	34335_1_1_1
34512_1_1_1	34512_1_1_1
36430_1_1_1	36430_1_1_1
50446_1_1_1	50446_1_1_1
50953_1_1_1	50953_1_1_1
50953_1_1_1	51080_1_1_1
51411_1_1_1	51411_1_1_1
11504_1_1_1	11504_1_1_1
15211_1_1_1	15211_1_1_1
15585_1_1_1	15585_1_1_1
15798_1_1_1	15798_1_1_1
15798_1_1_1	15797_1_1_1
16413_1_1_1	16413_1_1_1
16744_1_1_1	16744_1_1_1
16744_1_1_1	16596_1_1_1
16984_1_1_1	16984_1_1_1
16984_1_1_1	16982_1_1_1
17776_1_1_1	17776_1_1_1
17776_1_1_1	17775_1_1_1
18029_1_1_1	18029_1_1_1
18262_1_1_1	18262_1_1_1
18262_1_1_1	18261_1_1_1
18262_1_1_1	17148_1_1_1
18262_1_1_1	17131_1_1_1
18262_1_1_1	25643_1_1_1
18262_1_1_1	18480_1_1_1
18262_1_1_1	50972_1_1_1
18262_1_1_1	27683_1_1_1
18701_1_1_1	18701_1_1_1
18904_1_1_1	18904_1_1_1
19178_1_1_1	19178_1_1_1
19474_1_1_1	19474_1_1_1
19474_1_1_1	17741_1_1_1
25028_1_1_1	25028_1_1_1
25760_1_1_1	25760_1_1_1
26010_1_1_1	26010_1_1_1
26753_1_1_1	26753_1_1_1
26753_1_1_1	25132_1_1_1
26753_1_1_1	30043_1_1_1
26753_1_1_1	19927_1_1_1
26753_1_1_1	27612_1_1_1
26753_1_1_1	27158_1_1_1
27700_1_1_1	27700_1_1_1
27700_1_1_1	27699_1_1_1
28100_1_1_1	28100_1_1_1
30097_1_1_1	30097_1_1_1
30444_1_1_1	30444_1_1_1
30661_1_1_1	30661_1_1_1
30661_1_1_1	16921_1_1_1
30661_1_1_1	30662_1_1_1
30661_1_1_1	50008_1_1_1
31018_1_1_1	31018_1_1_1
34336_1_1_1	34336_1_1_1
34513_1_1_1	34513_1_1_1
36431_1_1_1	36431_1_1_1
50447_1_1_1	50447_1_1_1
50447_1_1_1	19999_1_1_1
50961_1_1_1	50961_1_1_1
51412_1_1_1	51412_1_1_1
51412_1_1_1	51169_1_1_1
11507_1_1_1	11507_1_1_1
15587_1_1_1	15587_1_1_1
15802_1_1_1	15802_1_1_1
16141_1_1_1	16141_1_1_1
16425_1_1_1	16425_1_1_1
16772_1_1_1	16772_1_1_1
16772_1_1_1	16773_1_1_1
17002_1_1_1	17002_1_1_1
17284_1_1_1	17284_1_1_1
17542_1_1_1	17542_1_1_1
17542_1_1_1	17541_1_1_1
17784_1_1_1	17784_1_1_1
18037_1_1_1	18037_1_1_1
18037_1_1_1	17701_1_1_1
18267_1_1_1	18267_1_1_1
18267_1_1_1	7319_1_1_1
18546_1_1_1	18546_1_1_1
18704_1_1_1	18704_1_1_1
18911_1_1_1	18911_1_1_1
18911_1_1_1	18900_1_1_1
19799_1_1_1	19799_1_1_1
25032_1_1_1	25032_1_1_1
25032_1_1_1	19942_1_1_1
25241_1_1_1	25241_1_1_1
25565_1_1_1	25565_1_1_1
25761_1_1_1	25761_1_1_1
26021_1_1_1	26021_1_1_1
26762_1_1_1	26762_1_1_1
27394_1_1_1	27394_1_1_1
27706_1_1_1	27706_1_1_1
28109_1_1_1	28109_1_1_1
28109_1_1_1	27591_1_1_1
28109_1_1_1	27592_1_1_1
28109_1_1_1	25441_1_1_1
30445_1_1_1	30445_1_1_1
30445_1_1_1	25401_1_1_1
34217_1_1_1	34217_1_1_1
34344_1_1_1	34344_1_1_1
34344_1_1_1	50362_1_1_1
34514_1_1_1	34514_1_1_1
36021_1_2_2	36021_1_2_2
36471_1_1_1	36471_1_1_1
50480_1_1_1	50480_1_1_1
50480_1_1_1	50481_1_1_1
50963_1_1_1	50963_1_1_1
50963_1_1_1	50838_1_1_1
51419_1_1_1	51419_1_1_1
51419_1_1_1	26651_1_1_1
51419_1_1_1	26652_1_1_1
51419_1_1_1	5778_1_1_1
11511_1_1_1	11511_1_1_1
15247_1_1_1	15247_1_1_1
15595_1_1_1	15595_1_1_1
15805_1_1_1	15805_1_1_1
16145_1_1_1	16145_1_1_1
16145_1_1_1	25694_1_1_1
16145_1_1_1	15635_1_1_1
16145_1_1_1	15635_1_3_1
16145_1_1_1	15636_1_1_1
16145_1_1_1	16519_1_1_1
16145_1_1_1	15636_1_3_1
16145_1_1_1	15637_1_1_1
16145_1_1_1	15637_1_3_1
16145_1_1_1	15633_1_1_1
16145_1_1_1	15633_1_2_1
16145_1_1_1	16142_1_1_1
16145_1_1_1	16143_1_1_1
16439_1_1_1	16439_1_1_1
16775_1_1_1	16775_1_1_1
16775_1_1_1	19164_1_1_1
10050_1_1_1	10050_1_1_1
10053_1_1_1	10053_1_1_1
10055_1_1_1	10055_1_1_1
10056_1_1_1	10056_1_1_1
10058_1_1_1	10058_1_1_1
10059_1_1_1	10059_1_1_1
10060_1_1_1	10060_1_1_1
10063_1_1_1	10063_1_1_1
10064_1_1_1	10064_1_1_1
10065_1_1_1	10065_1_1_1
25156_1_1_1	25156_1_1_1
25158_1_1_1	25158_1_1_1
25159_1_1_1	25159_1_1_1
25160_1_1_1	25160_1_1_1
27135_1_1_1	27135_1_1_1
27139_1_1_1	27139_1_1_1
27139_1_1_1	27137_1_1_1
27145_1_1_1	27145_1_1_1
27146_1_1_1	27146_1_1_1
27148_2_2_1	27148_2_2_1
27148_2_2_1	27148_1_1_1
27151_1_1_1	27151_1_1_1
27169_1_1_1	27169_1_1_1
27176_1_1_1	27176_1_1_1
27179_1_1_1	27179_1_1_1
27189_1_1_1	27189_1_1_1
27197_1_1_1	27197_1_1_1
27205_1_1_1	27205_1_1_1
27205_1_1_1	27198_1_1_1
27207_1_1_1	27207_1_1_1
27224_1_1_1	27224_1_1_1
27224_1_1_1	27469_1_1_1
27224_1_1_1	27470_1_1_1
27228_1_1_1	27228_1_1_1
27231_1_1_1	27231_1_1_1
27233_1_1_1	27233_1_1_1
27234_1_1_1	27234_1_1_1
27235_1_1_1	27235_1_1_1
27238_1_1_1	27238_1_1_1
27238_1_1_1	27237_1_1_1
27243_1_1_1	27243_1_1_1
27243_1_1_1	28064_1_1_1
27262_1_1_1	27262_1_1_1
27263_1_1_1	27263_1_1_1
27266_1_1_1	27266_1_1_1
27267_1_1_1	27267_1_1_1
27268_1_1_1	27268_1_1_1
27268_1_2_2	27268_1_2_2
27270_1_1_1	27270_1_1_1
27270_1_1_1	16165_1_1_1
27273_1_1_1	27273_1_1_1
27273_1_1_1	17940_1_1_1
27273_1_1_1	27274_1_1_1
27273_1_1_1	6468_1_1_1
27277_1_1_1	27277_1_1_1
27287_1_1_1	27287_1_1_1
27302_1_1_1	27302_1_1_1
27302_1_1_1	34151_1_1_1
27302_1_1_1	51056_2_2_2
27313_1_1_1	27313_1_1_1
27314_1_1_1	27314_1_1_1
27315_1_1_1	27315_1_1_1
27321_1_1_1	27321_1_1_1
27336_1_1_1	27336_1_1_1
27336_1_1_1	27320_1_1_1
27339_1_1_1	27339_1_1_1
27342_1_1_1	27342_1_1_1
27347_1_1_1	27347_1_1_1
27352_1_1_1	27352_1_1_1
27355_1_1_1	27355_1_1_1
27357_1_1_1	27357_1_1_1
27359_1_1_1	27359_1_1_1
27380_1_1_1	27380_1_1_1
27381_1_1_1	27381_1_1_1
27381_1_1_1	25267_1_1_1
27393_1_1_1	27393_1_1_1
27395_1_1_1	27395_1_1_1
27397_1_1_1	27397_1_1_1
27397_2_2_2	27397_2_2_2
27399_1_1_1	27399_1_1_1
27399_1_1_1	27398_1_1_1
27401_1_1_1	27401_1_1_1
27408_1_1_1	27408_1_1_1
27427_1_1_1	27427_1_1_1
27436_1_1_1	27436_1_1_1
27439_1_1_1	27439_1_1_1
27440_1_1_1	27440_1_1_1
27440_1_1_1	26751_1_1_1
27443_1_1_1	27443_1_1_1
27443_1_1_1	15519_1_1_1
27445_1_1_1	27445_1_1_1
27460_1_1_1	27460_1_1_1
27461_1_1_1	27461_1_1_1
27463_1_1_1	27463_1_1_1
27463_1_1_1	27462_1_1_1
27483_1_1_1	27483_1_1_1
27488_1_1_1	27488_1_1_1
27491_1_1_1	27491_1_1_1
27491_1_1_1	27492_1_1_1
27491_1_1_1	6880_1_1_1
27496_2_1_1	27496_2_1_1
27496_2_1_1	27496_1_1_1
27502_1_1_1	27502_1_1_1
27503_1_1_1	27503_1_1_1
27506_1_1_1	27506_1_1_1
27508_1_1_1	27508_1_1_1
27508_1_1_1	27511_1_1_1
27508_1_1_1	27477_1_1_1
27513_1_1_1	27513_1_1_1
27513_1_1_1	25987_1_1_1
27513_1_1_1	27514_1_1_1
27513_1_1_1	27515_1_1_1
27513_1_1_1	27516_1_1_1
27513_1_1_1	27575_1_1_1
27513_1_1_1	5507_1_1_1
27513_1_1_1	5508_1_1_1
27513_1_1_1	5509_1_1_1
27513_1_1_1	5510_1_1_1
27517_1_1_1	27517_1_1_1
27520_1_1_1	27520_1_1_1
27525_1_1_1	27525_1_1_1
27536_1_1_1	27536_1_1_1
27538_1_1_1	27538_1_1_1
27538_1_1_1	27537_1_1_1
27546_1_1_1	27546_1_1_1
27546_1_1_1	15757_1_1_1
27546_1_1_1	18596_1_1_1
27546_1_1_1	26531_1_1_1
27546_1_1_1	27542_1_1_1
27546_1_1_1	27544_1_1_1
27546_1_1_1	27545_1_1_1
27553_1_1_1	27553_1_1_1
27565_1_1_1	27565_1_1_1
27578_1_1_1	27578_1_1_1
27578_1_1_1	27417_1_1_1
27580_1_1_1	27580_1_1_1
27585_1_1_1	27585_1_1_1
27585_1_1_1	50592_1_1_1
27595_1_1_1	27595_1_1_1
27597_1_1_1	27597_1_1_1
275_1_1_1	275_1_1_1
275_1_1_1	300_1_1_1
275_1_1_1	63_1_1_1
27606_1_1_1	27606_1_1_1
27606_1_1_1	12026_1_1_1
27607_1_1_1	27607_1_1_1
27607_1_1_1	18807_1_1_1
27608_1_1_1	27608_1_1_1
27608_1_1_1	28005_1_1_1
27608_1_1_1	28006_1_1_1
27609_1_1_1	27609_1_1_1
27611_1_1_1	27611_1_1_1
27614_1_1_1	27614_1_1_1
27617_1_1_1	27617_1_1_1
27618_1_1_1	27618_1_1_1
27623_1_1_1	27623_1_1_1
27624_1_1_1	27624_1_1_1
27625_1_1_1	27625_1_1_1
27632_2_2_2	27632_2_2_2
27634_1_1_1	27634_1_1_1
27636_1_1_1	27636_1_1_1
27641_1_1_1	27641_1_1_1
27642_1_1_1	27642_1_1_1
27645_1_1_1	27645_1_1_1
27648_1_1_1	27648_1_1_1
27649_1_1_1	27649_1_1_1
27651_1_1_1	27651_1_1_1
27653_1_1_1	27653_1_1_1
27654_1_1_1	27654_1_1_1
27654_1_1_1	11352_1_1_1
27654_1_1_1	11353_1_1_1
27654_1_1_1	11354_1_1_1
27654_1_1_1	18874_1_1_1
27654_1_1_1	7210_1_1_1
27659_1_1_1	27659_1_1_1
27666_1_1_1	27666_1_1_1
27674_1_1_1	27674_1_1_1
27684_1_1_1	27684_1_1_1
27689_1_1_1	27689_1_1_1
27707_1_1_1	27707_1_1_1
27708_1_1_1	27708_1_1_1
27713_1_1_1	27713_1_1_1
27729_1_1_1	27729_1_1_1
27744_1_1_1	27744_1_1_1
27759_1_1_1	27759_1_1_1
27761_1_1_1	27761_1_1_1
27768_1_1_1	27768_1_1_1
27799_1_1_1	27799_1_1_1
27799_1_1_1	17437_1_1_1
27799_1_1_1	27798_1_1_1
27811_1_1_1	27811_1_1_1
27812_1_1_1	27812_1_1_1
27812_1_1_1	26755_1_1_1
27817_1_1_1	27817_1_1_1
27817_1_1_1	27814_1_1_1
27820_1_1_1	27820_1_1_1
27820_1_1_1	27818_1_1_1
27821_1_1_1	27821_1_1_1
27825_1_1_1	27825_1_1_1
27825_1_1_1	27826_1_1_1
27825_1_1_1	4093_1_1_1
27825_1_1_1	4097_1_1_1
27825_1_1_1	5347_1_1_1
27831_1_1_1	27831_1_1_1
27834_1_1_1	27834_1_1_1
27838_1_1_1	27838_1_1_1
27848_1_1_1	27848_1_1_1
27850_1_1_1	27850_1_1_1
27851_1_1_1	27851_1_1_1
27867_1_1_1	27867_1_1_1
27875_1_1_1	27875_1_1_1
27875_1_2_2	27875_1_2_2
27880_1_1_1	27880_1_1_1
27885_1_1_1	27885_1_1_1
27904_1_1_1	27904_1_1_1
10236_1_1_1	10236_1_1_1
10237_1_1_1	10237_1_1_1
10238_1_1_1	10238_1_1_1
10238_1_1_1	10239_1_1_1
10241_1_1_1	10241_1_1_1
10242_1_1_1	10242_1_1_1
10243_1_1_1	10243_1_1_1
10243_1_1_1	11205_1_1_1
10244_1_1_1	10244_1_1_1
10245_1_1_1	10245_1_1_1
10247_1_1_1	10247_1_1_1
10248_1_1_1	10248_1_1_1
10250_1_1_1	10250_1_1_1
10251_1_1_1	10251_1_1_1
10251_1_1_1	10249_1_1_1
10252_1_1_1	10252_1_1_1
10253_1_1_1	10253_1_1_1
10253_1_1_1	10312_1_1_1
10254_1_1_1	10254_1_1_1
10255_1_1_1	10255_1_1_1
10256_1_1_1	10256_1_1_1
10257_1_1_1	10257_1_1_1
10258_1_1_1	10258_1_1_1
10258_1_1_1	11208_1_1_1
10260_1_1_1	10260_1_1_1
10261_1_1_1	10261_1_1_1
10262_1_1_1	10262_1_1_1
10263_1_1_1	10263_1_1_1
10265_1_1_1	10265_1_1_1
10266_1_1_1	10266_1_1_1
10267_1_1_1	10267_1_1_1
10267_1_1_1	18825_1_1_1
10267_1_1_1	18824_1_1_1
10267_1_1_1	15567_1_1_1
10267_1_1_1	18826_1_1_1
10267_1_1_1	16637_1_1_1
10268_1_1_1	10268_1_1_1
10269_1_1_1	10269_1_1_1
10270_1_1_1	10270_1_1_1
10271_1_1_1	10271_1_1_1
10272_1_1_1	10272_1_1_1
10273_1_1_1	10273_1_1_1
10274_1_1_1	10274_1_1_1
10275_1_1_1	10275_1_1_1
10276_1_1_1	10276_1_1_1
10279_1_1_1	10279_1_1_1
10280_1_1_1	10280_1_1_1
10282_1_1_1	10282_1_1_1
10284_1_1_1	10284_1_1_1
10284_1_1_1	10283_1_1_1
10285_1_1_1	10285_1_1_1
10286_1_1_1	10286_1_1_1
10287_1_1_1	10287_1_1_1
10287_1_1_1	10292_1_1_1
10288_1_1_1	10288_1_1_1
10291_1_1_1	10291_1_1_1
10291_1_1_1	17971_1_1_1
10293_1_1_1	10293_1_1_1
10294_1_1_1	10294_1_1_1
10294_1_1_1	10281_1_1_1
10295_1_1_1	10295_1_1_1
10297_1_1_1	10297_1_1_1
10297_1_1_1	10289_1_1_1
10298_1_1_1	10298_1_1_1
10299_1_1_1	10299_1_1_1
10300_1_1_1	10300_1_1_1
10306_1_1_1	10306_1_1_1
10311_1_1_1	10311_1_1_1
10311_1_1_1	11089_1_1_1
10311_1_1_1	10317_1_1_1
10314_1_1_1	10314_1_1_1
10314_1_1_1	10278_1_1_1
10315_1_1_1	10315_1_1_1
10316_1_1_1	10316_1_1_1
10319_1_1_1	10319_1_1_1
10320_1_1_1	10320_1_1_1
10321_1_1_1	10321_1_1_1
10323_1_1_1	10323_1_1_1
10323_1_1_1	10328_1_1_1
10323_1_1_1	10143_1_1_1
10324_1_1_1	10324_1_1_1
10324_1_1_1	10142_1_1_1
10325_1_1_1	10325_1_1_1
10326_1_1_1	10326_1_1_1
10327_1_1_1	10327_1_1_1
10329_1_1_1	10329_1_1_1
10329_1_1_1	10159_1_1_1
10332_1_1_1	10332_1_1_1
10332_1_1_1	10162_1_1_1
10332_1_1_1	15777_1_1_1
10333_1_1_1	10333_1_1_1
15961_1_1_1	15961_1_1_1
15963_1_1_1	15963_1_1_1
15963_1_1_1	15962_1_1_1
15963_1_1_1	19720_1_1_1
15963_1_1_1	19721_1_1_1
15963_1_1_1	19722_1_1_1
15963_1_1_1	5081_1_2_1
15963_1_1_1	4309_1_1_1
15968_1_1_1	15968_1_1_1
15970_1_1_1	15970_1_1_1
15970_1_1_1	7084_1_1_1
15970_1_1_1	15971_1_1_1
15975_1_1_1	15975_1_1_1
15975_1_1_1	15930_1_1_1
15978_1_1_1	15978_1_1_1
15978_1_1_1	15583_1_1_1
15979_1_1_1	15979_1_1_1
15979_1_1_1	15667_1_1_1
15980_1_1_1	15980_1_1_1
15980_1_1_1	15460_1_1_1
15986_1_1_1	15986_1_1_1
15987_1_1_1	15987_1_1_1
15529_1_1_1	15529_1_1_1
15531_1_1_1	15531_1_1_1
15534_1_1_1	15534_1_1_1
15536_1_1_1	15536_1_1_1
15536_1_1_1	10290_1_1_1
15536_1_1_1	19585_1_1_1
15539_1_1_1	15539_1_1_1
1553_1_1_1	1553_1_1_1
15541_1_2_1	15541_1_2_1
15542_1_1_1	15542_1_1_1
15543_1_1_1	15543_1_1_1
15544_1_1_1	15544_1_1_1
15544_1_1_1	15413_1_1_1
19928_1_1_1	19928_1_1_1
25387_1_1_1	25387_1_1_1
25685_1_1_1	25685_1_1_1
25863_2_1_1	25863_2_1_1
25863_2_1_1	25863_1_1_1
26902_1_1_1	26902_1_1_1
27215_1_1_1	27215_1_1_1
27215_1_1_1	27216_1_1_1
27532_1_1_1	27532_1_1_1
27986_1_1_1	27986_1_1_1
27986_1_1_1	50207_1_1_1
27986_1_1_1	4177_1_1_1
27986_1_1_1	50208_1_1_1
30047_1_1_1	30047_1_1_1
30047_1_1_1	30048_1_1_1
30047_1_1_1	30050_1_1_1
30047_1_1_1	17030_1_1_1
30084_5_5_2	30084_5_5_2
30084_5_5_2	30084_6_6_2
30084_5_5_2	30084_7_7_2
30084_5_5_2	30084_8_8_2
10066_1_1_1	10066_1_1_1
10067_1_1_1	10067_1_1_1
10068_1_1_1	10068_1_1_1
10069_1_1_1	10069_1_1_1
10070_1_1_1	10070_1_1_1
10073_1_1_1	10073_1_1_1
10074_1_1_1	10074_1_1_1
10075_1_1_1	10075_1_1_1
10076_1_1_1	10076_1_1_1
10078_1_1_1	10078_1_1_1
5721_1_1_1	5721_1_1_1
5722_2_2_2	5722_2_2_2
5729_1_1_1	5729_1_1_1
5731_1_1_1	5731_1_1_1
5732_1_1_1	5732_1_1_1
5733_1_1_1	5733_1_1_1
5738_2_2_2	5738_2_2_2
5738_2_2_2	19789_2_2_2
5742_1_1_1	5742_1_1_1
5748_1_1_1	5748_1_1_1
5750_1_1_1	5750_1_1_1
5779_1_1_1	5779_1_1_1
5786_1_1_1	5786_1_1_1
5788_1_1_1	5788_1_1_1
5789_1_1_1	5789_1_1_1
5792_1_1_1	5792_1_1_1
5795_1_1_1	5795_1_1_1
5795_1_1_1	5795_2_1_1
5795_1_1_1	5795_3_1_1
5796_1_1_1	5796_1_1_1
5797_1_1_1	5797_1_1_1
5798_1_1_1	5798_1_1_1
5799_1_1_1	5799_1_1_1
30084_3_3_1	30084_3_3_1
30084_3_3_1	30084_4_4_1
30084_3_3_1	30085_1_1_1
30084_3_3_1	30080_1_1_1
30084_3_3_1	30085_2_2_1
30084_3_3_1	30080_2_2_1
30084_3_3_1	30085_3_3_1
30084_3_3_1	30080_3_3_1
30084_3_3_1	30085_4_4_1
30084_3_3_1	30080_4_4_1
30084_3_3_1	30081_1_1_1
30084_3_3_1	30086_1_1_1
30084_3_3_1	30081_2_2_1
30084_3_3_1	30086_2_2_1
30084_3_3_1	30081_3_3_1
30084_3_3_1	30086_3_3_1
30084_3_3_1	30081_4_4_1
30084_3_3_1	30086_4_4_1
30084_3_3_1	30082_1_1_1
30084_3_3_1	30082_2_2_1
30084_3_3_1	30082_3_3_1
30084_3_3_1	30082_4_4_1
30084_3_3_1	30083_1_1_1
30084_3_3_1	30083_2_2_1
30084_3_3_1	30083_3_3_1
30084_3_3_1	30083_4_4_1
30084_3_3_1	30084_1_1_1
30084_3_3_1	30084_2_2_1
30527_1_1_1	30527_1_1_1
30765_1_2_2	30765_1_2_2
34106_1_1_1	34106_1_1_1
34261_2_1_1	34261_2_1_1
34428_1_2_2	34428_1_2_2
34428_1_2_2	34429_1_1_1
34643_1_1_1	34643_1_1_1
34643_1_1_1	6631_1_1_1
36161_1_1_1	36161_1_1_1
36161_1_1_1	4497_1_1_1
36161_1_1_1	4599_1_1_1
36161_1_1_1	25385_1_1_1
36161_1_1_1	36077_1_1_1
50196_1_1_1	50196_1_1_1
50741_1_1_1	50741_1_1_1
17381_1_1_1	17381_1_1_1
18126_1_1_1	18126_1_1_1
18126_1_1_1	19769_1_1_1
18388_1_1_1	18388_1_1_1
18621_1_1_1	18621_1_1_1
18779_1_1_1	18779_1_1_1
19045_1_1_1	19045_1_1_1
19340_1_1_1	19340_1_1_1
19614_1_2_1	19614_1_2_1
19614_1_2_1	19614_1_1_1
19893_1_1_1	19893_1_1_1
19893_1_1_1	12041_1_1_1
25088_1_1_1	25088_1_1_1
25088_1_1_1	25803_1_1_1
25350_1_1_1	25350_1_1_1
25350_1_1_1	17357_1_1_1
25645_1_1_1	25645_1_1_1
25645_1_1_1	30374_1_1_1
25645_1_1_1	25527_1_1_1
25645_1_1_1	27046_1_1_1
25645_1_1_1	28034_1_1_1
26553_1_1_1	26553_1_1_1
27170_1_1_1	27170_1_1_1
27170_1_1_1	25993_1_1_1
27170_1_1_1	6253_1_1_1
